Date,PCIe_Forecast,PCIe_CI_Lo_80,PCIe_CI_Hi_80,PCIe_CI_Lo_95,PCIe_CI_Hi_95,SATA_Forecast,SATA_CI_Lo_80,SATA_CI_Hi_80,SATA_CI_Lo_95,SATA_CI_Hi_95
2026-05-01,306.8304405379101,273.01194207608535,340.6489389997348,255.04586476824096,358.6150163075792,225.7417916280243,198.67250490534326,252.81107835070532,184.29194633391896,267.19163692212965
2026-06-01,316.92483090911156,269.0982517253054,364.75141009291775,243.69038153390835,390.1592802843148,233.51559544792914,195.23384304094768,271.79734785491064,174.89666207473877,292.1345288211195
2026-07-01,322.1908583171873,263.61550074561694,380.76621588875764,232.4973420357202,411.8843745986544,238.2284029540258,191.34302302569262,285.113782882359,166.43516493876564,310.02164096928595
2026-08-01,325.62276072672853,257.98576380307907,393.259757650378,222.05360918739032,429.19191226606677,240.31321299880128,186.17463955343922,294.45178644416336,157.41352241059062,323.21290358701197
2026-09-01,326.2619760148963,250.64151455728413,401.8824374725084,210.46814440792767,442.0558076218649,241.12114062466878,180.5923754103215,301.64990583901607,148.4364688901995,333.80581235913803
2026-10-01,325.70400127561766,242.86593617704932,408.542066374186,198.8582140934349,452.54978845780045,240.93151360776125,174.6255734360972,307.2374537794253,139.40054271990067,342.4624844956218
2026-11-01,323.6263248735342,234.15098822992562,413.1016615171428,186.61721563800856,460.6354341090598,240.0565066594787,168.43790582336206,311.6751074955954,130.3905241291751,349.7224891897823
2026-12-01,320.8559905676549,225.2028322000425,416.50914893526726,174.38709181724846,467.3248893180613,238.9513194375362,162.38781462357326,315.51482425149914,121.71345269115545,356.18918618391695
2027-01-01,317.24208393129175,215.78658854581758,418.6975793167659,161.88835662228442,472.5958112402991,237.603343394398,156.39548322635488,318.8112035624411,113.253807512082,361.952879276714
2027-02-01,313.16208108996403,206.218598903697,420.10556327623107,149.40487399224267,476.9192881876854,236.01048578794067,150.4098851081139,321.61108646776745,104.93456599695597,367.08640557892534
2027-03-01,308.517834250152,196.3545638790682,420.6811046212358,136.76782649442993,480.2678420058741,234.1052672833851,144.32659988170292,323.8839346850673,96.63168282455928,371.57885174221093
2027-04-01,303.4980730042843,186.34735786114362,420.648788147425,124.11104044135016,482.8851055672185,231.77067128982722,137.9999114331609,325.54143114649355,88.1841952593069,375.3571473203475
2027-05-01,298.1078024730136,176.1734722097045,420.0421327363226,111.39585925732155,484.8197456887056,229.0021690024471,131.40246773358407,326.6018702713101,79.55262643450061,378.45171157039357
2027-06-01,292.5453450805819,166.00811050129226,419.08257965987156,98.78520463104465,486.3054855301192,225.87773759504796,124.59374097442671,327.1617342156692,70.78661776972166,380.96885742037426
2027-07-01,286.960413402785,155.9819320663967,417.9388947391733,86.39961385644042,487.52121294912956,222.58013935954818,117.741242688891,327.41903603020535,62.04557883260438,383.11469988649196
2027-08-01,281.6126772092515,146.33868336195263,416.88667105655037,74.47437413057509,488.7509802879279,219.38288350596144,111.10573661523732,327.66003039668556,53.583502329540124,385.18226468238277
2027-09-01,276.72058142344395,137.28334016555223,416.1578226813357,63.207305747297255,490.23385709959064,216.57564663328935,104.96611826554575,328.185175001033,45.67355632018197,387.4777369463967
2027-10-01,272.5073877392218,129.02765018780332,415.98712529064034,52.80403961361225,492.2107358648314,214.40810223503252,99.56284501408813,329.2533594559769,38.551302115461425,390.2649023546036
2027-11-01,269.1055299655678,121.69411274818813,416.51694718294755,43.38179735145519,494.82926257968046,213.0295625698673,95.03727727197335,331.02184786776127,32.35387570746721,393.70524943226735
2027-12-01,266.5729481635953,115.332025248371,417.8138710788196,34.98528494965808,498.1606113775325,212.44875996400836,91.39122953531378,333.5062903927029,27.079416495069808,397.81810343294694
2028-01-01,264.8574536237339,109.88162453267444,419.8332827147933,27.550715328049137,502.1641919194186,212.53288476574184,88.48582935059292,336.57994018089073,22.58583116129506,402.4799383701886
2028-02-01,263.8304211268702,105.20760296796311,422.4532392857773,20.939230821043736,506.72161143269665,213.0360211966824,86.06981214544018,340.0022302479247,18.619013586967753,407.45302880639707
2028-03-01,263.3031982505362,101.11537725621449,425.49101924485785,14.953097352981075,511.65329914809126,213.65531298610972,83.83557440788559,343.47505156433385,14.868838288204017,412.4417876840154
2028-04-01,263.0770977536018,97.4009675564651,428.75322795073845,9.385523389236255,516.7686721179673,214.10001270014843,81.48813235682033,346.7118930434765,11.038070924427274,417.1619544758696
2028-05-01,262.976426813034,93.88393450391038,432.0689191221576,4.053547964688505,521.8993056613795,214.15411622029302,78.80768260688785,349.5005498336982,6.904889749766397,421.4033426908196
2028-06-01,262.88359541218836,90.44241183493651,435.32477898944023,0.0,526.9341577648552,213.71890775707476,75.69208653908609,351.74572897506346,2.3653377670296436,425.0724777471199
2028-07-01,262.74960073894016,87.02352802422911,438.4756734536512,0.0,531.8301495833414,212.82469078774878,72.16855100274927,353.4808305727483,0.0,428.2044048335292
2028-08-01,262.59147688626416,83.64080359904699,441.54215017348133,0.0,536.6096953573154,211.60987754451304,68.37267587227973,354.84707921674635,0.0,430.9418426051203
